model,scope,fold,cohort_type,threshold,case_count,macro_case_dice,median_case_dice,zero_dice_case_count,case_dice_lt_0_30_count,voxel_dice,voxel_sensitivity,voxel_precision,tp,fp,fn
nnUNetResEnc_Layer1_sourceaware,fold,0,nca,0.6,251,0.45959650151280923,0.5403432629710002,42,88,0.600581752938498,0.5903219018629626,0.6112045463714907,1060446.0,674564.0,735940.0
nnUNetResEnc_Layer1_sourceaware,fold,0,nca,0.7,251,0.4580412801698181,0.5351842987075156,46,90,0.5923756659329441,0.5685337115742385,0.6183048146731049,1021306.0,630478.0,775080.0
nnUNetResEnc_Layer1_sourceaware,fold,0,nca,0.8,251,0.45647865883513916,0.5231016472478908,47,91,0.5796822893073782,0.5392671730908614,0.6266459667507601,968732.0,577168.0,827654.0
nnUNetResEnc_Layer1_sourceaware,fold,0,nca,0.9,251,0.45164619057465627,0.5196687370600414,49,91,0.5462759191648772,0.47934686643071145,0.6349280786666313,861092.0,495112.0,935294.0
nnUNetResEnc_Layer1_sourceaware,fold,0,pca,0.05,367,0.6823817030379318,0.7534791252485089,10,37,0.7894765931189771,0.8966832161768818,0.7051674227063554,7913441.0,3308633.0,911795.0
nnUNetResEnc_Layer1_sourceaware,fold,0,pca,0.1,367,0.6889886003754934,0.7541322314049587,10,35,0.8054073941654357,0.878584889967815,0.743482593304502,7753719.0,2675199.0,1071517.0
nnUNetResEnc_Layer1_sourceaware,fold,0,pca,0.2,367,0.6937957268223636,0.7580967612954818,10,32,0.8152982241337593,0.8592566816343495,0.7756185832785187,7583143.0,2193754.0,1242093.0
nnUNetResEnc_Layer1_sourceaware,fold,0,pca,0.3,367,0.6960024848725119,0.7582833410244578,10,32,0.8190392670388247,0.8459842886921097,0.7937576886524607,7466011.0,1939896.0,1359225.0
nnUNetResEnc_Layer1_sourceaware,fold,0,pca,0.4,367,0.6972322788634528,0.758384668035592,11,31,0.8208445874300251,0.8346253856554091,0.8075114766527925,7365766.0,1755796.0,1459470.0
nnUNetResEnc_Layer1_sourceaware,fold,0,pca,0.5,367,0.6979478429409607,0.7575336114974501,12,31,0.8216366225206431,0.8237334389697907,0.8195504538751877,7269642.0,1600638.0,1555594.0
nnUNetResEnc_Layer1_sourceaware,fold,0,pca,0.6,367,0.6983572597947799,0.7573940020682524,14,29,0.8214712039940755,0.8122084213951899,0.8309476975525294,7167931.0,1458281.0,1657305.0
nnUNetResEnc_Layer1_sourceaware,fold,0,pca,0.7,367,0.6984139550744473,0.7586346192688346,14,30,0.8200822925324407,0.7983327584667425,0.843050091987376,7045475.0,1311650.0,1779761.0
nnUNetResEnc_Layer1_sourceaware,fold,0,pca,0.8,367,0.6977144604168709,0.7588126159554731,15,31,0.8156851898344223,0.778261907103674,0.8568893285958101,6868345.0,1147095.0,1956891.0
nnUNetResEnc_Layer1_sourceaware,fold,0,pca,0.9,367,0.6941223854182523,0.7557023753342772,15,31,0.8014773201753533,0.7382023551551482,0.8766164390492276,6514810.0,916958.0,2310426.0
